frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
128,1,3589.114,-0.047,-0.023,0.987,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
129,1,3589.124,-0.042,-0.022,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
130,1,3589.134,-0.044,-0.02,0.99,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
131,1,3589.144,-0.043,-0.019,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
132,1,3589.154,-0.043,-0.024,0.987,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
133,1,3589.164,-0.045,-0.021,0.988,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
134,1,3589.174,-0.047,-0.018,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
135,1,3589.184,-0.04,-0.027,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
136,1,3589.194,-0.044,-0.025,0.993,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
137,1,3589.204,-0.048,-0.02,0.988,0.0,0.0,0.0,15,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
138,1,3589.214,-0.045,-0.021,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
139,1,3589.224,-0.044,-0.026,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.25,-0.29,1.0,-0.011,0.022,-0.003,
140,1,3589.234,-0.04,-0.021,0.989,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
141,1,3589.244,-0.041,-0.02,0.987,0.0,0.0,0.0,15,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
142,1,3589.254,-0.047,-0.023,0.986,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
143,1,3589.264,-0.043,-0.022,0.991,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
144,1,3589.274,-0.045,-0.021,0.99,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
145,1,3589.284,-0.043,-0.022,0.985,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
146,1,3589.294,-0.044,-0.024,0.987,0.0,0.0,0.0,14,-12,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
