Time,Speed,accX,accY,accZ,Magnitude
19.852,1500,0.07025137,0.12475824,0.2781511,77.0229326772476
19.862,1500,0.03025137,-0.02024176,0.0381511,77.0229326772476
19.871,1500,0.06725137,-0.07924176,0.0351511,77.0229326772476
19.881,1500,0.16225137,0.02375824,0.1481511,77.0229326772476
19.891,1500,0.15025137,0.11075824,-0.1008489,77.0229326772476
19.901,1500,-0.07174863,-0.07124176,-0.2468489,77.0229326772476
19.911,1500,-0.41274863,-0.13824176,-0.3278489,77.0229326772476
19.921,1500,-0.45074863,-0.03424176,-0.1878489,77.0229326772476
19.932,1500,-0.09974863,-0.01824176,0.0031511,77.0229326772476
19.942,1500,0.19725137,0.16575824,0.3061511,77.0229326772476
19.952,1500,0.35625137,0.04475824,-0.0178489,77.0229326772476
19.962,1500,0.25625137,-0.07424176,-0.1468489,77.0229326772476
19.972,1500,-0.20374863,-0.14324176,-0.4818489,77.0229326772476
19.981,1500,-0.03174863,-0.10424176,-0.2608489,77.0229326772476
19.991,1500,-0.22774863,0.07575824,0.1791511,77.0229326772476
20.001,1500,-0.22074863,0.01175824,0.1191511,77.0229326772476
20.011,1500,0.06725137,-0.07924176,-0.0398489,77.0229326772476
20.022,1500,0.03225137,-0.18924176,-0.2298489,77.0229326772476
20.032,1500,-0.40974863,-0.27824176,-0.2518489,77.0229326772476
20.042,1500,-0.06874863,-0.19124176,-0.0568489,77.0229326772476
20.052,1500,0.12225137,-0.17524176,0.2631511,77.0229326772476
20.062,1500,-0.04774863,-0.21024176,0.0451511,77.0229326772476
20.071,1500,-0.20174863,-0.25124176,-0.0528489,77.0229326772476
20.081,1500,-0.11774863,-0.19824176,0.0521511,77.0229326772476
20.091,1500,-0.00074863,-0.23724176,0.0001511,77.0229326772476
20.101,1500,-0.03474863,-0.18324176,-0.0218489,77.0229326772476
20.111,1500,-0.04274863,-0.14424176,0.0171511,77.0229326772476
20.121,1500,-0.01574863,-0.11424176,0.0161511,77.0229326772476
