Time,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude
25.056,-3.947042273895617e-06,-1.0075524807041573e-05,-8.664067401851355e-06,1.3862229502971466e-05
25.067,1.58305325487144e-05,1.8077641372558742e-06,3.1446209829647807e-06,1.6240763931489085e-05
25.077,-8.801334023896373e-06,2.532469296000374e-08,5.051503481500792e-07,8.815854967869287e-06
25.087,-2.2089344773890604e-05,-6.348997807038738e-06,-3.7607424018492516e-06,2.3289313195254548e-05
25.097,9.562827261051497e-07,-2.2792380570403565e-06,6.522500981501019e-07,2.556331935302028e-06
25.107,6.644139726103678e-06,-1.2985730570397417e-06,-1.3090799018497396e-06,6.895257418971791e-06
25.117,8.091829761051261e-07,6.627569429601036e-07,7.012833481501099e-07,1.259294321694813e-06
25.126,5.494296578494708e-06,-1.168715751336044e-06,-1.6636010866650627e-06,5.858392268825365e-06
25.136,5.810574476103844e-06,-2.7205373070394586e-06,-6.226144018498758e-07,6.4460645105935645e-06
25.147,1.2137207237154153e-06,-1.2666206377439116e-06,3.1446209829647807e-06,3.6008453120951264e-06
25.157,9.929367476106552e-06,6.627569429601036e-07,9.954828481501557e-07,1.000112850342228e-05
25.167,2.4272802261053795e-06,1.0059896929601572e-06,1.0360833598151619e-05,1.0688806173140744e-05
25.177,-4.143175273894175e-06,-1.543739307039693e-06,6.6343065981486794e-06,7.972644256239367e-06
25.187,1.1302298476106767e-05,7.429345442961161e-06,1.5754491098152465e-05,2.0763937832588942e-05
25.197,1.0223566976102964e-05,1.3982556929597216e-06,5.163309098148974e-06,1.1538466169330538e-05
25.207,-2.0177048023898155e-05,-7.6728955570412e-06,-1.253769415185196e-05,2.4963580829547227e-05
25.217,-1.478339052389206e-05,1.6434219429596733e-06,5.702674848148865e-06,1.593015917962569e-05
