Time,Speed,accX,accY,accZ,velocity_magnitude
3.129,1500,-0.01574863,-0.05924176,0.0171511,91.2941632075957
3.138,1500,0.03025137,0.01375824,0.0171511,91.2941632075957
3.148,1500,-0.06274863,-0.00224176,0.0041511,91.2941632075957
3.159,1500,-0.01374863,0.00975824,0.0241511,91.2941632075957
3.169,1500,-0.04374863,0.00575824,0.0231511,91.2941632075957
3.178,1500,-0.03174863,-0.04224176,-0.0038489,91.2941632075957
3.188,1500,-0.02474863,-0.06624176,0.0021511,91.2941632075957
3.199,1500,-0.01374863,-0.07524176,0.0081511,91.2941632075957
3.208,1500,-0.05274863,-0.09524176,0.0111511,91.2941632075957
3.218,1500,-0.05174863,-0.12524176,0.0181511,91.2941632075957
3.229,1500,-0.08774863,-0.15324176,0.0121511,91.2941632075957
3.238,1500,-0.08174863,-0.14524176,0.0071511,91.2941632075957
3.249,1500,-0.05774863,-0.11024176,0.0161511,91.2941632075957
3.259,1500,-0.04874863,-0.10124176,0.0081511,91.2941632075957
3.268,1500,-0.02774863,-0.07424176,-0.0058489,91.2941632075957
3.279,1500,-0.03874863,-0.07224176,-0.0008489,111.569054357428
3.289,1500,-0.03074863,-0.07524176,0.0051511,111.569054357428
3.298,1500,-0.00274863,-0.04324176,-0.0028489,111.569054357428
3.309,1500,-0.01674863,-0.01424176,-0.0098489,111.569054357428
3.318,1500,-0.02274863,-0.00124176,0.0041511,111.569054357428
3.328,1500,-0.01374863,-0.00524176,-0.0058489,111.569054357428
3.339,1500,-0.01574863,-0.01324176,-0.0068489,111.569054357428
3.348,1500,-0.01574863,-0.00624176,0.0011511,111.569054357428
3.358,1500,-0.00774863,-0.00124176,-0.0068489,111.569054357428
3.369,1500,-0.00174863,0.00275824,-0.0088489,111.569054357428
3.378,1500,0.00725137,0.01275824,0.0001511,111.569054357428
3.389,1500,0.01425137,0.01575824,0.0041511,111.569054357428
3.398,1500,0.02525137,0.03375824,0.0081511,111.569054357428
3.408,1500,0.01325137,0.05475824,-0.0018489,111.569054357428
3.419,1500,0.02825137,0.06575824,-0.0048489,111.569054357428
3.428,1500,0.08525137,0.08875824,-0.0018489,111.569054357428
3.438,1500,0.06525137,0.09175824,-0.0058489,111.569054357428
3.449,1500,0.05825137,0.10375824,-0.0048489,111.569054357428
3.458,1500,0.08825137,0.10575824,-0.0018489,111.569054357428
3.468,1500,0.04525137,0.11475824,-0.0098489,111.569054357428
3.479,1500,0.09625137,0.13375824,0.0121511,111.569054357428
3.488,1500,0.00625137,0.05675824,-0.0558489,111.569054357428
3.499,1500,0.06625137,0.05475824,0.0041511,111.569054357428
3.509,1500,0.05125137,0.04775824,0.0011511,111.569054357428
3.518,1500,0.00525137,0.01875824,-0.0038489,111.569054357428
3.529,1500,0.02225137,0.03175824,-0.0018489,111.569054357428
3.539,1500,-0.02474863,0.01375824,-0.0258489,111.569054357428
3.548,1500,-0.05574863,0.00975824,0.0211511,111.569054357428
3.559,1500,-0.02274863,-0.01324176,0.0131511,111.569054357428
3.569,1500,-0.05974863,0.00775824,-0.0148489,111.569054357428
3.578,1500,0.01725137,0.05475824,-0.0108489,111.569054357428
3.589,1500,0.03325137,0.03075824,0.0051511,111.569054357428
3.598,1500,0.08225137,0.02475824,0.0131511,111.569054357428
3.608,1500,-0.04974863,0.01775824,0.0191511,111.569054357428
3.619,1500,-0.09774863,-0.00724176,-0.0178489,111.569054357428
3.628,1500,-0.04374863,0.00875824,-0.0338489,111.569054357428
3.638,1500,-0.06774863,0.00575824,-0.0608489,111.569054357428
3.649,1500,-0.00974863,0.02775824,0.0281511,111.569054357428
3.658,1500,0.04825137,0.01175824,-0.0038489,111.569054357428
3.669,1500,-0.01074863,-0.00024176,-0.0048489,111.569054357428
3.679,1500,-0.13074863,-0.03824176,-0.0878489,111.569054357428
3.688,1500,-0.04974863,0.02275824,0.0001511,111.569054357428
3.699,1500,0.06825137,-0.00224176,-0.0168489,111.569054357428
3.709,1500,0.02525137,-0.01724176,0.0041511,111.569054357428
3.718,1500,-0.04874863,-0.00624176,-0.0498489,111.569054357428
